individualID	populationID	populationName	location	geographicRegion	fromHGDP-CEPH-dataSet[RosenbergEtAl2005]?	fromNativeAmerican-dataSet[WangEtAl2007]?	fromLatino-dataSet[WangEtAl2008]?	fromJewish-dataSet[KopelmanEtAl2009]?	fromAsianIndian-dataSet[RosenbergEtAl2006]?	fromChhaGaamPatel-dataSet[PembertonEtAl2012]?	fromPacificIslander-dataSet[FriedlaenderEtAl2008]?	fromAfrican-dataSet[TishkoffEtAl2009]?	fromChimpanzee-dataSet[BecquetEtAl2007]?	inMS5795	inMS5547	inMS5435	inMS5592	inMS5362	inMS5255	inMS5879	inMS5631	inMS5519	inMS5676	inMS5446	inMS5339
1360	24	Basque	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1361	24	Basque	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1362	24	Basque	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1363	24	Basque	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1364	24	Basque	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1365	24	Basque	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1366	24	Basque	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1367	24	Basque	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1368	24	Basque	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1369	24	Basque	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1370	24	Basque	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1371	24	Basque	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1372	24	Basque	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1373	24	Basque	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1374	24	Basque	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1375	24	Basque	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1376	24	Basque	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1377	24	Basque	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1378	24	Basque	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1379	24	Basque	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1380	24	Basque	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
511	25	French	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
512	25	French	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
513	25	French	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
514	25	French	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
515	25	French	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
516	25	French	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
517	25	French	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
518	25	French	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
519	25	French	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
520	25	French	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
521	25	French	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
522	25	French	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
523	25	French	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
524	25	French	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
525	25	French	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
526	25	French	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
527	25	French	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
528	25	French	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
529	25	French	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
530	25	French	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
531	25	French	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
532	25	French	France	EUROPE	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0
533	25	French	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
534	25	French	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
535	25	French	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
536	25	French	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
537	25	French	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
538	25	French	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
539	25	French	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1147	27	Italian	Italy-Bergamo	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1149	27	Italian	Italy-Bergamo	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1151	27	Italian	Italy-Bergamo	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1152	27	Italian	Italy-Bergamo	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1153	27	Italian	Italy-Bergamo	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1155	27	Italian	Italy-Bergamo	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1156	27	Italian	Italy-Bergamo	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1157	27	Italian	Italy-Bergamo	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1171	27	Italian	Italy-Bergamo	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1172	27	Italian	Italy-Bergamo	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1173	27	Italian	Italy-Bergamo	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1174	27	Italian	Italy-Bergamo	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1177	27	Italian	Italy-Bergamo	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
665	28	Sardinian	Italy	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
666	28	Sardinian	Italy	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
667	28	Sardinian	Italy	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
668	28	Sardinian	Italy	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
669	28	Sardinian	Italy	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
670	28	Sardinian	Italy	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
671	28	Sardinian	Italy	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
672	28	Sardinian	Italy	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
673	28	Sardinian	Italy	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
674	28	Sardinian	Italy	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1062	28	Sardinian	Italy	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1063	28	Sardinian	Italy	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1064	28	Sardinian	Italy	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1065	28	Sardinian	Italy	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1066	28	Sardinian	Italy	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1067	28	Sardinian	Italy	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1068	28	Sardinian	Italy	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1069	28	Sardinian	Italy	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1070	28	Sardinian	Italy	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1071	28	Sardinian	Italy	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1072	28	Sardinian	Italy	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1073	28	Sardinian	Italy	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1074	28	Sardinian	Italy	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1075	28	Sardinian	Italy	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1076	28	Sardinian	Italy	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1077	28	Sardinian	Italy	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1078	28	Sardinian	Italy	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1079	28	Sardinian	Italy	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1161	29	Tuscan	Italy	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1162	29	Tuscan	Italy	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1163	29	Tuscan	Italy	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1164	29	Tuscan	Italy	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1166	29	Tuscan	Italy	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1167	29	Tuscan	Italy	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1168	29	Tuscan	Italy	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1169	29	Tuscan	Italy	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1253	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1254	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1255	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1256	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1257	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1258	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1259	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1260	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1261	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1262	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1263	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1264	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1265	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1266	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1267	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1268	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1269	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1270	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1271	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1272	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1273	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1274	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1275	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1276	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1277	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1278	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1279	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1280	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1281	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0
1282	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
607	36	Bedouin	Israel-Negev	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
608	36	Bedouin	Israel-Negev	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
609	36	Bedouin	Israel-Negev	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
610	36	Bedouin	Israel-Negev	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
611	36	Bedouin	Israel-Negev	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
612	36	Bedouin	Israel-Negev	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
613	36	Bedouin	Israel-Negev	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
614	36	Bedouin	Israel-Negev	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
615	36	Bedouin	Israel-Negev	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
616	36	Bedouin	Israel-Negev	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
617	36	Bedouin	Israel-Negev	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	1	0	1	1	0
618	36	Bedouin	Israel-Negev	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
619	36	Bedouin	Israel-Negev	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
620	36	Bedouin	Israel-Negev	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
621	36	Bedouin	Israel-Negev	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
622	36	Bedouin	Israel-Negev	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
623	36	Bedouin	Israel-Negev	MIDDLE_EAST	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
